""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV9742"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	"Umboniibacter"	NA
"ASV9743"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Ekhidna"	NA
"ASV9744"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	NA
"ASV9745"	"Bacteria"	"Bacteroidota"	"Ignavibacteria"	"Ignavibacteriales"	"Melioribacteraceae"	"IheB3-7"	NA
"ASV9746"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Arenicellales"	"Arenicellaceae"	NA	NA
"ASV9747"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Temperatibacteraceae"	"Temperatibacter"	NA
"ASV9748"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Ga0077536"	NA	NA	NA
"ASV9750"	"Bacteria"	"Marinimicrobia (SAR406 clade)"	NA	NA	NA	NA	NA
"ASV9751"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"BD7-8"	NA	NA	NA
"ASV9752"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Parahaliea"	NA
"ASV9753"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Endozoicomonadaceae"	"Endozoicomonas"	NA
"ASV9754"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	NA	NA	NA
"ASV9755"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"	NA	NA
"ASV9756"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"	NA	NA
"ASV9757"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	NA	NA
"ASV9758"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	NA
"ASV9759"	"Archaea"	"Thermoplasmatota"	"Thermoplasmata"	"Marine Group II"	NA	NA	NA
"ASV9760"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"ASV9761"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria Incertae Sedis"	"Unknown Family"	NA	NA
