""	"date"	"site"	"depth"	"depthtype"	"Library"	"Sequences"	"depth_m"	"monthyear"	"yearmonth"	"prehurricane"	"disease"	"disturbance"	"temp"	"salinity"	"npoc"	"tn"	"po4"	"no2no3"	"silicate"	"no2"	"nh4"	"Chl"	"Phaeo"	"pro"	"syn"	"peuk"	"hbact"	"BleachCoral"	"CCA"	"CYAN"	"DiseasedCoral"	"HardCoral"	"Macroalgae"	"Other"	"Ramicrusta"	"SoftCoral"	"Sponge"	"Substrate"	"TurfAlgae"	"is.neg"
"503"	"11/30/17"	"Sand patch"	"Surface"	"surface"	"G2"	" 56673"	" 0.50"	"2017November"	"2017-11"	"No"	"No"	"hurricane"	"27.98000"	"34.71000"	" 75.310"	" 7.622"	"0.1635"	" 0.1491"	" 2.5288"	" 0.0329"	" 0.2489"	NA	NA	" 44480"	" 48066"	" 1153"	" 622744"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"614"	"11/5/18"	"Tektite"	"Surface"	"surface"	"G2"	" 47216"	" 0.50"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.66000"	"33.07000"	" 85.289"	" 3.893"	"0.1393"	" 1.1550"	" 3.6190"	" 0.0071"	" 0.0704"	NA	NA	" 88116"	" 24947"	" 1238"	" 849347"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"930"	"1/19/21"	"Cocoloba"	"Surface"	"surface"	"H2"	" 47477"	" 0.50"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.81000"	"35.81000"	" 75.400"	" 9.300"	"0.0867"	" 0.3821"	" 1.0698"	" 0.0467"	" 0.9264"	NA	NA	"  9796"	" 37029"	"  657"	" 544443"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"239"	"3/25/17"	"Booby Rock"	"Benthic"	"benthic"	"H2"	" 63796"	" 5.86"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.53000"	"36.76000"	" 76.524"	" 6.100"	"0.1760"	" 0.2802"	" 1.2240"	" 0.0348"	" 0.1325"	"0.16669060"	"0.09538658"	" 23766"	" 47967"	" 1350"	" 455386"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"USVI114"	"10/28/16"	"Ram Head"	"Benthic"	"benthic"	"L2"	" 52972"	"10.90"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.50000"	"34.30000"	" 88.650"	" 5.753"	"0.0401"	" 0.3475"	" 1.3590"	" 0.0382"	" 0.0525"	"0.37200000"	NA	" 25734"	" 82533"	" 1969"	" 656086"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"USVI131"	"10/28/16"	"Joels Shoal"	"Surface"	"surface"	"L2"	" 66347"	" 0.50"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.56000"	"35.73000"	"140.066"	" 8.310"	"0.0352"	" 0.0564"	" 1.3109"	" 0.0181"	" 0.0000"	NA	NA	" 36844"	"119447"	" 1378"	" 763833"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"365"	"7/28/17"	"Dittlif"	"Surface"	"surface"	"H2"	" 45760"	" 0.50"	"2017July"	"2017-07"	"Yes"	"No"	"historic"	"29.39000"	"34.94000"	"106.757"	"18.021"	"0.1553"	" 0.5514"	" 2.0455"	" 0.0163"	" 0.1877"	NA	NA	"112542"	" 24877"	" 1814"	" 745973"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"21"	"6/10/16"	"Europa"	"Benthic"	"benthic"	"G2"	" 45164"	"11.64"	"2016June"	"2016-06"	"Yes"	"No"	"historic"	"28.73000"	"36.48000"	"149.730"	"13.806"	"0.0375"	" 0.1507"	" 1.2250"	" 0.0025"	" 0.0280"	"0.57400000"	NA	"     0"	" 32569"	" 4261"	" 415195"	"0.00"	"0.01000000"	"0.03000000"	"0.00000000"	"0.09500000"	"0.42666667"	"0.02500000"	"0.00000000"	"0.06000000"	"0.04333333"	"0.3516667"	"0.00000000"	"FALSE"
"602"	"11/5/18"	"Booby Rock"	"Benthic"	"benthic"	"G2"	" 38167"	"16.00"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.50000"	"33.11000"	" 86.377"	" 4.300"	"0.1438"	" 1.6740"	" 3.6231"	"-0.0023"	" 0.2363"	"0.14759648"	"0.10986025"	" 88847"	" 26719"	" 1575"	" 889847"	"0.00"	"0.03000000"	"0.03000000"	"0.00000000"	"0.13333333"	"0.14333333"	"0.03800000"	"0.00000000"	"0.14166667"	"0.05166667"	"0.4583333"	"0.00000000"	"FALSE"
"1142"	"6/24/22"	"Ram Head"	"Surface"	"surface"	"G2"	" 69343"	" 0.50"	"2022June"	"2022-06"	"No"	"Yes"	"disease"	"29.30000"	"35.80000"	" 86.000"	" 7.000"	"0.0700"	"-0.1000"	" 0.0000"	" 0.0000"	" 0.2700"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1064"	"10/25/21"	"Booby Rock"	"Surface"	"surface"	"F2"	" 43622"	" 0.50"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.33032"	"33.93032"	" 85.700"	" 6.100"	"0.0700"	" 0.1000"	" 4.2000"	" 0.0100"	" 0.2700"	NA	NA	" 51670"	" 41677"	"  985"	" 828000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"285"	"3/27/17"	"Dittlif"	"Benthic"	"benthic"	"G2"	" 53898"	" 5.45"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.62000"	"36.68000"	" 72.670"	" 6.344"	"0.1681"	" 0.1719"	" 1.1062"	" 0.0196"	" 0.1326"	"0.20778889"	"0.10448421"	" 23147"	" 76177"	" 1955"	" 447398"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"307"	"3/28/17"	"Yawzi"	"Benthic"	"benthic"	"G2"	" 47909"	" 6.28"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.83000"	"36.62000"	" 71.928"	" 5.352"	"0.1787"	" 0.2554"	" 0.9922"	" 0.0250"	" 0.1952"	"0.18290017"	"0.09057470"	" 35367"	" 75502"	" 2236"	" 318263"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1144"	"6/24/22"	"Ram Head"	"Benthic"	"benthic"	"F2"	" 58428"	"10.30"	"2022June"	"2022-06"	"No"	"Yes"	"disease"	"29.40000"	"25.80000"	" 73.100"	" 4.100"	"0.0800"	" 0.1000"	" 0.1000"	" 0.0100"	" 0.2800"	"0.26122028"	"0.10064866"	NA	NA	NA	NA	"0.00"	"0.00000000"	"0.02000000"	"0.00000000"	"0.02750000"	"0.29000000"	"0.01250000"	"0.05500000"	"0.10000000"	"0.01750000"	"0.0600000"	"0.61500000"	"FALSE"
