	date	site	depth	depthtype	Library	Sequences	depth_m	monthyear	yearmonth	prehurricane	disease	disturbance	temp	salinity	npoc	tn	po4	no2no3	silicate	no2	nh4	Chl	Phaeo	pro	syn	peuk	hbact	BleachCoral	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae	is.neg
112	2016-10-28	Cocoloba	Benthic	benthic	G2	53593	7.5	2016October	2016-10	Yes	No	historic	29.46	35.74	149.81	3.9	0.0927	0.4617	1.5229	0.0583	0.0875	0.28	NA	17768	49838	1160	520545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1047	2021-10-23	Tektite	Surface	surface	G2	55641	0.5	2021October	2021-10	No	Yes	disease	29.30779	34.28132	82.2	7.7	0.07	0	2.2	0.01	0.23	NA	NA	60533	64604	1563	884000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI113	2016-10-28	Dittlif	Benthic	benthic	L2	46890	8.41	2016October	2016-10	Yes	No	historic	29.51	35.73	107.191	6.369	0.0758	0.3895	1.5132	0.0294	0.0525	0.25	NA	17845	57853	1139	635358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI84	2016-06-12	Ram Head	Surface	surface	L2	41691	0.5	2016June	2016-06	Yes	No	historic	28.62	36.28	76.346	4.877	0.0222	0.0601	1.2241	0.0312	0.0235	0.191	NA	84066	38665	1111	676786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI59	2016-06-11	Sand patch	Benthic	benthic	L2	51128	9.73	2016June	2016-06	Yes	No	historic	28.48	36.48	75.04	4.297	0.0223	0.0574	1.02	0.0171	-0.0022	0.139	NA	68316	53466	1463	619144	0	0	0	0	0	0.1	0	0	0	0	0.9	0	FALSE
1111	2022-06-25	Joels Shoal	Surface	surface	H2	47832	0.5	2022June	2022-06	No	Yes	disease	NA	NA	72.4	4.7	0.08	0	0.6	0	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1018	2021-10-21	Cocoloba	Benthic	benthic	F2	44716	6.4	2021October	2021-10	No	Yes	disease	29.69039	34.87366	71.6	7.9	0.09	0.5	1.9	0.04	0.36	0.2239471	0.07996569	11476	51460	1825	659000	0	0.01	0.13	0.07	0.02666667	0.2625	0.06	0.09666667	0.01333333	0	0.2125	0.35	FALSE
531	2018-04-11	Tektite	Benthic	benthic	H2	56453	10	2018April	2018-04	No	No	hurricane	27.19	36.5	76.673	6.27	0.1723	0.2126	1.4236	0.0246	0.169	0.12375437	0.07075829	34805	71494	1181	435122	0	0.09	0	0	0.27166667	0.385	0	0.072	0.02	0.01	0.1933333	0.04	FALSE
1124	2022-06-24	Booby Rock	Surface	surface	G2	60041	0.5	2022June	2022-06	No	Yes	disease	28.64	35.79	81.8	7.8	0.08	0	0	0.01	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI135	2016-10-28	Joels Shoal	Benthic	benthic	L2	58270	14.82	2016October	2016-10	Yes	No	historic	29.52	35.74	96.614	6.938	0.0397	0.1311	1.3301	0.0272	0.0438	0.364	NA	29869	106945	1434	758714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
673	2018-11-06	Dittlif	Surface	surface	G2	46664	0.5	2018November	2018-11	No	No	hurricane	28.44	32.95	82.404	5.397	0.1701	1.2208	2.914	0.0631	0.279	NA	NA	16566	40711	3347	838069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1001	2021-10-20	Europa	Benthic	benthic	H2	57742	7.1	2021October	2021-10	No	Yes	disease	29.93186	35.09782	92.8	8.5	0.12	0.5	1.4	0.03	0.46	0.4904041	0.22845353	0	84116	2902	1060000	0	0.01	0.105	0.02	0.055	0.4125	0.015	0.03666667	0.0225	0.05	0.1375	0.1875	FALSE
375	2017-07-28	Dittlif	Benthic	benthic	G2	58424	9.27	2017July	2017-07	Yes	No	historic	29.36	34.65	71.046	3.449	0.1682	0.2125	2.1606	0.0655	0.0612	0.14141897	0.09780063	96441	20475	1842	685688	0	0.015	0.01	0	0.11	0.28666667	0.02	0.03	0.07	0.03	0.36	0.17	FALSE
415	2017-07-29	Booby Rock	Benthic	benthic	F2	37094	9.01	2017July	2017-07	Yes	No	historic	29.27	34.94	79.438	7.721	0.1626	0.0436	8.3952	-0.005	0.0748	0.21836979	0.10747843	84853	35494	1294	778472	0	0	0.025	0	0.16333333	0.11833333	0.04	0.07	0.26166667	0.07833333	0.2683333	0.06	FALSE
1016	2021-10-21	Joels Shoal	Surface	surface	G2	44866	0.5	2021October	2021-10	No	Yes	disease	29.73558	34.86725	73.5	6.1	0.07	0.2	0.9	0.02	0.3	NA	NA	16138	85193	2285	872000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1019	2021-10-21	Dittlif	Benthic	benthic	G2	67558	7.5	2021October	2021-10	No	Yes	disease	29.7816	34.89886	72.1	7.1	0.1	0.7	0.8	0.05	0.31	0.26614896	0.12865518	9585	50291	1628	632000	0	0.03333333	0	0	0.1	0.24	0.02	0.02	0.0775	0.0225	0.23	0.285	FALSE
945	2021-01-20	Europa	Surface	surface	G2	62810	0.5	2021January	2021-01	No	Yes	disease	26.74	35.69	75.6	9.4	0.0704	0.1325	0.7232	0.0237	7.7039	NA	NA	9822	43069	840	626787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
244	2017-03-25	Ram Head	Benthic	benthic	G2	48817	8.43	2017March	2017-03	Yes	No	historic	26.48	36.87	NA	NA	0.1869	0.2835	1.2363	0.0464	0.1489	0.16503135	0.09831224	35536	62381	1434	589050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
630	2018-11-06	Europa	Benthic	benthic	G2	48421	14.3	2018November	2018-11	No	No	hurricane	28.5	33.08	83.426	3.922	0.1411	0.8474	2.9319	-0.0044	0.1537	0.32878635	0.19461667	85458	79186	2081	881733	0.01	0.01	0.08333333	0	0.08333333	0.40833333	0.03	0.025	0.09	0.054	0.2583333	0	FALSE
1115	2022-06-25	Joels Shoal	Benthic	benthic	G2	59785	11.3	2022June	2022-06	No	Yes	disease	NA	NA	114.3	5.6	0.08	0.3	0.4	0.03	0.4	0.16267739	0.07857976	NA	NA	NA	NA	0.01	0.06	0.03	0	0.05	0.17	0.07333333	0.2225	0.135	0.09	0.12	0.1575	FALSE
344	2017-07-26	Yawzi	Benthic	benthic	G2	54415	10.46	2017July	2017-07	Yes	No	historic	28.9	34.98	73.907	8.374	0.1522	0.2629	2.0632	0.0153	0.0566	0.15864962	0.06537305	68231	45802	1519	645342	0	0.05666667	0.0275	0	0.12833333	0.30666667	0.026	0.02	0.10166667	0.06	0.2216667	0.16	FALSE
826	2020-08-07	Joels Shoal	Surface	surface	F2	63055	0.5	2020August	2020-08	No	Yes	disease	29.47	35.5	79.3	10.1	0.0537	0.0755	2.3233	0.0247	0.3093	0.12352515	0.04121026	79954	21823	473	569943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
291	2017-03-27	Cocoloba	Surface	surface	F2	44440	0.5	2017March	2017-03	Yes	No	historic	26.63	36.68	70.959	6.108	0.17	0.2186	1.1372	0.0249	0.1884	NA	NA	18169	60117	2138	440494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1063	2021-10-25	Booby Rock	Surface	surface	H2	54073	0.5	2021October	2021-10	No	Yes	disease	29.33032	33.93032	85.7	6.1	0.07	0.1	4.2	0.01	0.27	NA	NA	51670	41677	985	828000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
809	2020-08-06	Yawzi	Surface	surface	F2	62355	0.5	2020August	2020-08	No	Yes	disease	NA	NA	81.3	9.7	0.0573	0.0154	1.7903	0.0207	0.3396	0.25659963	0.06926135	39327	62398	473	588747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
